tissue,study_id,animal,group,weeks,sex,area,MHplus_int,apex_rt,log2
Cortex,ST002640,90223,Training,8,Male,268136.8133854225,2498095.75,5.0329301,18.03260977970493
Cortex,ST002640,90225,Training,8,Male,89609.21569689385,810014.3125,1.7084459,16.451359490811246
Cortex,ST002640,90229,Control,0,Male,52375.77866040108,250505.390625,3.5875147,15.676612166784325
Cortex,ST002640,90232,Control,0,Male,94940.08612702819,690412.375,5.0229998,16.534729738090547
Cortex,ST002640,90237,Control,0,Male,106928.13511485003,1412249.0,1.6995769,16.706281981845954
Cortex,ST002640,90239,Control,0,Male,121950.93413862637,935548.5,4.99671,16.895941283591835
Cortex,ST002640,90248,Control,0,Female,33867.88998893784,106740.71875,3.458712,15.047630487511745
Cortex,ST002640,90252,Control,0,Female,50608.05908778542,316102.84375,6.7935845,15.627079524946836
Cortex,ST002640,90251,Training,8,Female,150700.71559467632,1267202.0,5.0230432,17.201326741952773
Cortex,ST002640,90245,Control,0,Female,76548.72364691527,810068.375,1.7007474,16.22409070236116
Cortex,ST002640,90254,Training,8,Female,40634.69405273277,178002.796875,6.7905829,15.31042441149315
Cortex,ST002640,90258,Training,8,Female,68509.25945541667,503506.125,5.0392032,16.064011370069665
Cortex,ST002640,90259,Training,8,Female,45098.270214934426,336120.0625,6.7930126,15.460784478214254
Cortex,ST002640,90265,Control,0,Female,33316.57598937444,153545.28125,6.803254,15.023952519239181
Cortex,ST002640,90267,Training,8,Female,140072.37399232836,1214674.375,5.0116778,17.09581292032451
Cortex,ST002640,90266,Control,0,Female,30860.23282172123,253304.015625,6.8004501,14.913461325757371
Cortex,ST002640,90281,Training,4,Male,48307.28109347672,282030.875,6.8065839,15.559953034568593
Cortex,ST002640,90280,Training,4,Male,272963.47775513853,2721878.75,5.0203244,18.058348407316913
Cortex,ST002640,90283,Training,4,Male,44507.156033423766,192180.90625,3.559427,15.441749696390824
Cortex,ST002640,90289,Training,4,Male,83948.43608366008,705405.9375,5.020333,16.357215828292883
Cortex,ST002640,90406,Training,4,Female,152880.01760302353,1361492.875,5.0297508,17.222040323980682
Cortex,ST002640,90292,Training,4,Male,224581.730929289,2201347.5,5.0209802,17.77688104790236
Cortex,ST002640,90410,Training,4,Female,50456.996735364766,223960.90625,6.7934257,15.622766717374962
Cortex,ST002640,90412,Training,4,Female,109930.92564683022,965531.0625,4.9984362,16.746237775201013
Cortex,ST002640,90416,Training,4,Female,57509.68995397802,272903.6875,5.0464349,15.811517439445613
Cortex,ST002640,90421,Training,1,Male,78198.32352974989,569792.4375,5.0165254,16.254850057910183
Cortex,ST002640,90420,Training,4,Female,134131.19752689046,1165944.375,5.024311,17.033285306628265
Cortex,ST002640,90422,Training,1,Male,48328.2794617532,224854.515625,6.8007817,15.560580013748556
Cortex,ST002640,90423,Training,1,Male,82715.93660199546,438960.34375,5.0393653,16.3358776949395
Cortex,ST002640,90426,Training,1,Male,339481.7076220799,3198055.75,5.022877,18.372974313902706
Cortex,ST002640,90430,Training,1,Male,41143.10688238732,191927.703125,6.792349,15.328363121262827
Cortex,ST002640,90444,Training,2,Male,32516.425282200576,173779.6875,6.7917438,14.988881041909707
Cortex,ST002640,90439,Training,2,Male,107981.82532355371,836003.8125,5.0188651,16.720428983843394
Cortex,ST002640,90441,Training,2,Male,36719.250418324154,237808.65625,6.7991574,15.16424898762567
Cortex,ST002640,90449,Training,2,Male,84585.82927212323,746436.125,4.9991501,16.368128367348096
Cortex,ST002640,90450,Training,2,Male,99531.86027971956,792166.75,5.0354906,16.602870787719226
Cortex,ST002640,90559,Training,1,Female,35724.431819904734,153288.75,3.4788237,15.12462344567462
Cortex,ST002640,90560,Training,1,Female,50972.04871572163,300327.5625,5.0139396,15.637418720091393
Cortex,ST002640,90567,Training,1,Female,32478.163391626847,176296.109375,5.0344766,14.987182431385698
Cortex,ST002640,90564,Training,1,Female,146562.3977051686,2086932.0,1.6850355,17.161155485120364
Cortex,ST002640,90571,Training,1,Female,29884.838210267662,191554.96875,6.7891373,14.867126111910547
Cortex,ST002640,90576,Training,2,Female,481014.7723193075,4329237.5,5.010167,18.87572167534388
Cortex,ST002640,90578,Training,2,Female,29765.38395471155,144404.640625,3.5801151,14.861347883893153
Cortex,ST002640,90581,Training,2,Female,28195.815434621887,185358.5,5.0329422,14.783193446440215
Cortex,ST002640,90587,Training,2,Female,35567.184027637355,303758.34375,5.0099062,15.11825913550156
Cortex,ST002640,90585,Training,2,Female,30452.47378105877,195605.921875,6.7974321,14.894271808558004
Hypothalamus,ST002641,90218,Training,8,Male,34655.90698199448,151224.125,3.5263023,15.08081365535546
Hypothalamus,ST002641,90225,Training,8,Male,34242.61245137992,127479.5625,3.7014941,15.063505152166861
Hypothalamus,ST002641,90232,Control,0,Male,177248.9377208054,2683746.75,1.7000249,17.43541745564198
Hypothalamus,ST002641,90227,Training,8,Male,133526.8554859956,1822267.0,1.6966867,17.026770406461992
Hypothalamus,ST002641,90229,Control,0,Male,168784.7344455488,1931881.125,1.6909493,17.36482490137515
Hypothalamus,ST002641,90245,Control,0,Female,140299.18410961036,1842574.5,1.6983936,17.098147093626686
Hypothalamus,ST002641,90248,Control,0,Female,238475.6296652206,3411834.0,1.7010354,17.86348231610762
Hypothalamus,ST002641,90237,Control,0,Male,32137.223664882396,214167.765625,3.6562883,14.971957679504754
Hypothalamus,ST002641,90251,Training,8,Female,25306.63154680683,109119.3515625,3.6563093,14.627227869055488
Hypothalamus,ST002641,90252,Control,0,Female,28678.737828313395,184839.515625,3.6587323,14.807693910949705
Hypothalamus,ST002641,90258,Training,8,Female,128253.82672043898,1685988.25,1.7008281,16.96864234672713
Hypothalamus,ST002641,90254,Training,8,Female,29943.17153050284,149124.5,3.6219326,14.869939416877727
Hypothalamus,ST002641,90259,Training,8,Female,203468.82831113244,2612800.5,1.7139165,17.63444826310231
Hypothalamus,ST002641,90265,Control,0,Female,24769.298044299954,111702.6484375,3.5961762,14.596265363097102
Hypothalamus,ST002641,90266,Control,0,Female,135919.51970244516,1683961.25,1.6915826,17.05239313404241
Hypothalamus,ST002641,90267,Training,8,Female,151498.5357665586,1917493.5,1.7007483,17.20894432455396
Hypothalamus,ST002641,90283,Training,4,Male,43903.840399866654,221016.3125,3.6281548,15.422059521667997
Hypothalamus,ST002641,90280,Training,4,Male,26959.342489242536,167101.203125,3.6863603,14.718497690643533
Hypothalamus,ST002641,90281,Training,4,Male,24982.154251935586,120819.375,3.5973793,14.608610267807553
Hypothalamus,ST002641,90289,Training,4,Male,58563.58732522013,414079.6875,3.6514083,15.837716308475217
Hypothalamus,ST002641,90406,Training,4,Female,65327.23484067053,375292.8125,5.0443682,15.995396954447248
