tissue,platform,study_id,tag,group,timepoint,sex,animal,weeks,area,ppm
Gastrocnemius,RP-neg,ST002646,blank_2,Blank,,,blank_2,,1.1611655990601013,6.917191964234913
Gastrocnemius,RP-neg,ST002646,blank_3,Blank,,,blank_3,,3.059950598144562,5.376725119694268
Gastrocnemius,RP-pos,ST002647,bio_90217015509,Control,8 weeks of training or control time,Male,90217015509,0,7.847807477823906,-8.791120611589317
Gastrocnemius,RP-pos,ST002647,bio_90218015509,Training,8 weeks of training or control time,Male,90218015509,8,0.0,nan
Gastrocnemius,RP-pos,ST002647,bio_90222015509,Training,8 weeks of training or control time,Male,90222015509,8,1.9322388465881541,-3.3813226081886274
Gastrocnemius,RP-pos,ST002647,bio_90223015509,Training,8 weeks of training or control time,Male,90223015509,8,6.841088529968248,-9.283196219214796
Gastrocnemius,RP-pos,ST002647,bio_90225015509,Training,8 weeks of training or control time,Male,90225015509,8,4.70836906127927,-7.960492663516609
Gastrocnemius,RP-pos,ST002647,bio_90227015509,Training,8 weeks of training or control time,Male,90227015509,8,7.460395896148599,-7.790752314327529
Gastrocnemius,RP-pos,ST002647,bio_90229015509,Control,8 weeks of training or control time,Male,90229015509,0,11.098380151240002,-7.6426249162123145
Gastrocnemius,RP-pos,ST002647,bio_90232015509,Control,8 weeks of training or control time,Male,90232015509,0,5.253322828928682,4.764209704940785
Gastrocnemius,RP-pos,ST002647,bio_90237015509,Control,8 weeks of training or control time,Male,90237015509,0,10.533837005615128,-8.074764385912392
Gastrocnemius,RP-pos,ST002647,bio_90239015509,Control,8 weeks of training or control time,Male,90239015509,0,7.019371234130929,0.7077327431947514
Gastrocnemius,RP-pos,ST002647,bio_90245015509,Control,8 weeks of training or control time,Female,90245015509,0,0.0,nan
Gastrocnemius,RP-pos,ST002647,bio_90248015509,Control,8 weeks of training or control time,Female,90248015509,0,7.355809943644207,-1.9375781383338055
Gastrocnemius,RP-pos,ST002647,bio_90251015509,Training,8 weeks of training or control time,Female,90251015509,8,0.0,nan
Gastrocnemius,RP-pos,ST002647,bio_90252015509,Control,8 weeks of training or control time,Female,90252015509,0,5.31387750244142,6.26116900486293
Gastrocnemius,RP-pos,ST002647,bio_90254015509,Training,8 weeks of training or control time,Female,90254015509,8,3.8630098147074206,-0.28637091317120117
Gastrocnemius,RP-pos,ST002647,bio_90258015509,Training,8 weeks of training or control time,Female,90258015509,8,10.94744580574038,-0.2609181697728977
Gastrocnemius,RP-pos,ST002647,bio_90259015509,Training,8 weeks of training or control time,Female,90259015509,8,1.8238205332438335,-7.537363796504131
Gastrocnemius,RP-pos,ST002647,bio_90265015509,Control,8 weeks of training or control time,Female,90265015509,0,0.0,nan
Gastrocnemius,RP-pos,ST002647,bio_90266015509,Control,8 weeks of training or control time,Female,90266015509,0,0.0,nan
Gastrocnemius,RP-pos,ST002647,bio_90267015509,Training,8 weeks of training or control time,Female,90267015509,8,0.0,nan
Gastrocnemius,RP-pos,ST002647,bio_90280015509,Training,4 weeks of training,Male,90280015509,4,2.5095393348693937,-7.789247432798676
Gastrocnemius,RP-pos,ST002647,bio_90281015509,Training,4 weeks of training,Male,90281015509,4,2.7709756189982375,-3.2394170495126513
Gastrocnemius,RP-pos,ST002647,bio_90283015509,Training,4 weeks of training,Male,90283015509,4,4.455656541697215,-3.7701059348199015
Gastrocnemius,RP-pos,ST002647,bio_90289015509,Training,4 weeks of training,Male,90289015509,4,1.8149901662190937,9.753468596592246
Gastrocnemius,RP-pos,ST002647,bio_90292015509,Training,4 weeks of training,Male,90292015509,4,7.663008488718729,6.159759534252328
Gastrocnemius,RP-pos,ST002647,bio_90406015509,Training,4 weeks of training,Female,90406015509,4,7.914897424570679,9.714702955818495
Gastrocnemius,RP-pos,ST002647,bio_90410015509,Training,4 weeks of training,Female,90410015509,4,2.110099600728374,2.8552262690648726
Gastrocnemius,RP-pos,ST002647,bio_90412015509,Training,4 weeks of training,Female,90412015509,4,2.955369936116487,0.9879892927765065
Gastrocnemius,RP-pos,ST002647,bio_90416015509,Training,4 weeks of training,Female,90416015509,4,7.427246526591011,2.2189142175555014
Gastrocnemius,RP-pos,ST002647,bio_90420015509,Training,4 weeks of training,Female,90420015509,4,2.558569353485116,3.5915195864477405
Gastrocnemius,RP-pos,ST002647,bio_90421015509,Training,1 week of training or control time,Male,90421015509,1,3.382741730753524,-7.2467694066078225
Gastrocnemius,RP-pos,ST002647,bio_90422015509,Training,1 week of training or control time,Male,90422015509,1,8.18093656921386,-8.69236057401248
Gastrocnemius,RP-pos,ST002647,bio_90423015509,Training,1 week of training or control time,Male,90423015509,1,3.581220549265484,3.4621476788031993
Gastrocnemius,RP-pos,ST002647,bio_90426015509,Training,1 week of training or control time,Male,90426015509,1,0.0,nan
Gastrocnemius,RP-pos,ST002647,bio_90430015509,Training,1 week of training or control time,Male,90430015509,1,1.9794746604919102,7.4506060253439665
Gastrocnemius,RP-pos,ST002647,bio_90439015509,Training,2 weeks of training,Male,90439015509,2,0.0,nan
Gastrocnemius,RP-pos,ST002647,bio_90441015509,Training,2 weeks of training,Male,90441015509,2,4.680435509490936,6.020471867936767
Gastrocnemius,RP-pos,ST002647,bio_90444015509,Training,2 weeks of training,Male,90444015509,2,1.7524468938191906,-3.8464572297837036
Gastrocnemius,RP-pos,ST002647,bio_90449015509,Training,2 weeks of training,Male,90449015509,2,0.0,nan
Gastrocnemius,RP-pos,ST002647,bio_90450015509,Training,2 weeks of training,Male,90450015509,2,0.0,nan
Gastrocnemius,RP-pos,ST002647,bio_90559015509,Training,1 week of training or control time,Female,90559015509,1,5.549965369669652,2.6898914672765364
Gastrocnemius,RP-pos,ST002647,bio_90560015509,Training,1 week of training or control time,Female,90560015509,1,2.7017539881387895,4.9874932420429765
Gastrocnemius,RP-pos,ST002647,bio_90564015509,Training,1 week of training or control time,Female,90564015509,1,7.049569992319733,-0.03060500203914189
