tissue,mode,sex,week,animal,area,log2
Gastrocnemius,RP-pos,Female,8,90258015509,10.94744580574038,3.4525224027749233
Gastrocnemius,RP-pos,Female,8,90259015509,1.8238205332438335,0.866963773067586
Gastrocnemius,RP-pos,Female,8,90267015509,0.0,
Gastrocnemius,RP-pos,Male,0,90217015509,7.847807477823906,2.972289649840081
Gastrocnemius,RP-pos,Male,0,90229015509,11.098380151240002,3.4722772202638486
Gastrocnemius,RP-pos,Male,0,90232015509,5.253322828928682,2.3932302441887345
Gastrocnemius,RP-pos,Male,0,90237015509,10.533837005615128,3.3969591362518816
Gastrocnemius,RP-pos,Male,0,90239015509,7.019371234130929,2.811341805739542
Gastrocnemius,RP-pos,Male,1,90421015509,3.382741730753524,1.7581930328857522
Gastrocnemius,RP-pos,Male,1,90422015509,8.18093656921386,3.032266015100311
Gastrocnemius,RP-pos,Male,1,90423015509,3.581220549265484,1.8404513696871085
Gastrocnemius,RP-pos,Male,1,90426015509,0.0,
Gastrocnemius,RP-pos,Male,1,90430015509,1.9794746604919105,0.9851175993626321
Gastrocnemius,RP-pos,Male,2,90439015509,0.0,
Gastrocnemius,RP-pos,Male,2,90441015509,4.680435509490936,2.226642777276685
Gastrocnemius,RP-pos,Male,2,90444015509,1.7524468938191906,0.8093707254429917
Gastrocnemius,RP-pos,Male,2,90449015509,0.0,
Gastrocnemius,RP-pos,Male,2,90450015509,0.0,
Gastrocnemius,RP-pos,Male,4,90280015509,2.5095393348693937,1.3274225592778428
Gastrocnemius,RP-pos,Male,4,90281015509,2.7709756189982375,1.4703940170246426
Gastrocnemius,RP-pos,Male,4,90283015509,4.455656541697215,2.1556380287534878
Gastrocnemius,RP-pos,Male,4,90289015509,1.8149901662190937,0.8599617315899625
Gastrocnemius,RP-pos,Male,4,90292015509,7.663008488718729,2.937910903852428
Gastrocnemius,RP-pos,Male,8,90218015509,0.0,
Gastrocnemius,RP-pos,Male,8,90222015509,1.932238846588154,0.9502734386303213
Gastrocnemius,RP-pos,Male,8,90223015509,6.841088529968248,2.774225899941703
Gastrocnemius,RP-pos,Male,8,90225015509,4.70836906127927,2.235227409163382
Gastrocnemius,RP-pos,Male,8,90227015509,7.460395896148599,2.899252191104561
Heart,RP-neg,Female,0,90245015807,9.295241955057817,3.2164924189714252
Heart,RP-neg,Female,0,90248015807,8.180926169331798,3.032264181096626
Heart,RP-neg,Female,0,90252015807,6.168090807596815,2.6248240049911504
Heart,RP-neg,Female,0,90265015807,3.80491823806764,1.9278654527296868
Heart,RP-neg,Female,0,90266015807,2.766305869547554,1.4679606836332433
Heart,RP-neg,Female,1,90559015807,11.072920608011913,3.4689638943294123
Heart,RP-neg,Female,1,90560015807,14.482239379374176,3.856212797565468
Heart,RP-neg,Female,1,90564015807,0.0,
Heart,RP-neg,Female,1,90567015807,15.173866178385468,3.9235168143381647
Heart,RP-neg,Female,1,90571015807,0.0,
Heart,RP-neg,Female,2,90576015807,16.35044117787675,4.031257658839945
Heart,RP-neg,Female,2,90578015807,4.5695725509642795,2.1920592183586223
Heart,RP-neg,Female,2,90581015807,6.639882835642506,2.7311577846552044
Heart,RP-neg,Female,2,90585015807,6.381009961446191,2.6737847862243806
Heart,RP-neg,Female,2,90587015807,3.558358725992874,1.8312119592063372
Heart,RP-neg,Female,4,90406015807,5.772132398986809,2.529104392201079
Heart,RP-neg,Female,4,90410015807,5.917891576131244,2.565083264627357
Heart,RP-neg,Female,4,90412015807,9.295359147898266,3.216510608112143
Heart,RP-neg,Female,4,90416015807,2.492953066508,1.3178557222383456
Heart,RP-neg,Female,4,90420015807,0.0,
Heart,RP-neg,Female,8,90251015807,4.096709848531129,2.0344657168580786
Heart,RP-neg,Female,8,90254015807,10.221047052002035,3.353471089534317
Heart,RP-neg,Female,8,90258015807,2.102389019266785,1.0720296456269873
Heart,RP-neg,Female,8,90259015807,0.0,
Heart,RP-neg,Female,8,90267015807,10.836098239135715,3.437773472948516
Heart,RP-neg,Male,0,90217015807,8.767124013265061,3.132103655409176
Heart,RP-neg,Male,0,90229015807,8.969556945673675,3.1650367244906086
Heart,RP-neg,Male,0,90232015807,4.582534094238327,2.1961456145143323
Heart,RP-neg,Male,0,90237015807,2.4353191027323486,1.2841108227252356
Heart,RP-neg,Male,0,90239015807,3.5355830693562234,1.8219481561669324
Heart,RP-neg,Male,1,90421015807,0.0,
Heart,RP-neg,Male,1,90422015807,0.0,
Heart,RP-neg,Male,1,90423015807,0.0,
Heart,RP-neg,Male,1,90426015807,12.218198206075018,3.610959644297853
Heart,RP-neg,Male,1,90430015807,4.191776530202244,2.067561806722063
Heart,RP-neg,Male,2,90439015807,10.137542559814555,3.341636066119505
Heart,RP-neg,Male,2,90441015807,4.860091930643702,2.2809836032609763
Heart,RP-neg,Male,2,90444015807,2.7830178822834823,1.476650178737366
